"employee_id","first_name","last_name","email","phone_number","job_id","salary","commission_pct","manager_id","department_id"
100,Steven,King,SKING,"515.123.4567",AD_PRES,24000.0,,,90
101,N_ann,Kochhar,NKOCHHAR,"515.123.4568",AD_VP,17000.0,,100,90
102,Lex,De Haan,LDEHAAN,"515.123.4569",AD_VP,17000.0,,100,90
103,Alexander,Hunold,AHUNOLD,"590.423.4567",IT_PROG,9000.0,,102,60
104,Bruce,Ernst,BERNST,"590.423.4568",IT_PROG,6000.0,,103,60
105,David,Austin,DAUSTIN,"590.423.4569",IT_PROG,4800.0,,103,60
106,Valli,Pataballa,VPATABAL,"590.423.4560",IT_PROG,4800.0,,103,60
107,Diana,Lorentz,DLORENTZ,"590.423.5567",IT_PROG,4200.0,,103,60
108,Nancy,Greenberg,NGREENBE,"515.124.4569",FI_MGR,12000.0,,101,100
109,Daniel,Faviet,DFAVIET,"515.124.4169",FI_ACCOUNT,9000.0,,108,100
110,John,Chen,JCHEN,"515.124.4269",FI_ACCOUNT,8200.0,,108,100
111,Ismael,Sciarra,ISCIARRA,"515.124.4369",FI_ACCOUNT,7700.0,,108,100
112,Jose Manuel,Urman,JMURMAN,"515.124.4469",FI_ACCOUNT,7800.0,,108,100
113,Luis,Popp,LPOPP,"515.124.4567",FI_ACCOUNT,6900.0,,108,100
114,Den,Raphaely,DRAPHEAL,"515.127.4561",PU_MAN,11000.0,,100,30
115,Alexander,Khoo,AKHOO,"515.127.4562",PU_CLERK,3100.0,,114,30
116,Shelli,Baida,SBAIDA,"515.127.4563",PU_CLERK,2900.0,,114,30
117,Sigal,Tobias,STOBIAS,"515.127.4564",PU_CLERK,2800.0,,114,30
118,Guy,Himuro,GHIMURO,"515.127.4565",PU_CLERK,2600.0,,114,30
119,Karen,Colmenares,KCOLMENA,"515.127.4566",PU_CLERK,2500.0,,114,30
120,Matthew,Weiss,MWEISS,"650.123.1234",ST_MAN,8000.0,,100,50
121,Adam,Fripp,AFRIPP,"650.123.2234",ST_MAN,8200.0,,100,50
122,Payam,Kaufling,PKAUFLIN,"650.123.3234",ST_MAN,7900.0,,100,50
123,Shanta,Vollman,SVOLLMAN,"650.123.4234",ST_MAN,6500.0,,100,50
124,Kevin,Mourgos,KMOURGOS,"650.123.5234",ST_MAN,5800.0,,100,50
125,Julia,Nayer,JNAYER,"650.124.1214",ST_CLERK,3200.0,,120,50
126,Irene,Mikkilineni,IMIKKILI,"650.124.1224",ST_CLERK,2700.0,,120,50
127,James,Landry,JLANDRY,"650.124.1334",ST_CLERK,2400.0,,120,50
